date,open,high,low,close,volume
2020-12-03,323.52,333.62,318.93,319.75,2100478.0
2020-12-02,308.37,320.94,301.5518,320.34,2026816.0
2020-12-01,319.72,320.94,308.06,313.58,1862427.0
2020-11-30,321.0,323.89,308.73,320.09,3636165.0
2020-11-27,308.06,321.0,307.0,319.05,2035281.0
2020-11-25,292.13,307.49,292.0,305.5,2314127.0
2020-11-24,302.0,303.41,290.0,292.0,2275735.0
2020-11-23,302.2,305.6,293.88,301.72,2342065.0
2020-11-20,296.5,306.6,296.5,298.31,2724009.0
2020-11-19,284.5,301.56,279.01,295.64,3589953.0
2020-11-18,286.91,288.36,278.3712,278.93,2053986.0
2020-11-17,282.0,291.005,278.19,287.88,2149509.0
2020-11-16,272.16,284.92,270.7,278.52,2594870.0
2020-11-13,281.09,286.34,271.8555,274.43,1833149.0
2020-11-12,280.57,288.75,278.75,285.67,1419805.0
2020-11-11,268.07,281.0806,266.6,279.17,1927798.0
2020-11-10,270.0,274.545,254.82,266.26,2411738.0
2020-11-09,280.0,287.65,266.1401,274.0,3088567.0
2020-11-06,302.89,305.2999,288.2,292.13,3975996.0
2020-11-05,314.39,314.73,299.5368,307.54,2287785.0
2020-11-04,293.49,307.46,291.07,306.19,3100211.0
2020-11-03,273.16,283.5,270.0,280.37,1674544.0
2020-11-02,277.74,284.64,269.7,273.38,2272931.0
2020-10-30,286.03,289.79,273.76,278.97,2402954.0
2020-10-29,299.75,303.69,287.8,288.58,2174561.0
2020-10-28,283.4,297.2,277.3195,296.96,3905996.0
2020-10-27,297.68,300.7899,285.83,286.29,5934987.0
2020-10-26,308.0,312.26,295.11,300.62,4684533.0
2020-10-23,293.62,307.17,289.1301,306.1,2355584.0
2020-10-22,301.0,302.03,287.01,294.03,2394900.0
2020-10-21,313.99,315.7281,297.37,298.7,2945051.0
2020-10-20,326.0,328.76,308.58,309.38,3164519.0
2020-10-19,330.0,338.8762,326.445,329.59,1899510.0
2020-10-16,328.1,331.44,323.8055,326.47,1580811.0
2020-10-15,313.02,327.965,310.39,325.9,2894976.0
2020-10-14,338.0,339.5,319.38,323.42,3282036.0
2020-10-13,333.35,341.7,331.7439,337.88,3501451.0
2020-10-12,322.68,332.0,311.5079,329.72,6200161.0
2020-10-09,302.0,310.64,300.565,306.24,1931975.0
2020-10-08,303.05,306.64,297.0,299.1,1807083.0
2020-10-07,298.0,307.61,296.6,298.18,3612874.0
2020-10-06,283.58,298.12,282.31,294.51,5679812.0
2020-10-05,290.0,290.9,282.31,283.0,3847981.0
2020-10-02,276.95,295.52,272.5,290.36,13795458.0
2020-10-01,249.95,258.0,247.5,256.96,2245372.0
2020-09-30,246.41,250.74,244.4454,247.09,1683372.0
2020-09-29,245.0,251.755,243.0,248.8,1422701.0
2020-09-28,246.61,249.0481,241.26,244.52,1724111.0
2020-09-25,238.58,246.69,234.03,245.02,1529899.0
2020-09-24,229.99,245.16,227.7104,238.4,2450188.0
2020-09-23,234.57,238.72,230.89,232.0,2112880.0
2020-09-22,239.07,241.38,233.9724,237.0,1896592.0
2020-09-21,224.06,238.765,222.0033,238.3,2024602.0
2020-09-18,225.2,227.8,220.48,225.4,1921683.0
2020-09-17,220.0,223.11,216.23,221.87,1983275.0
2020-09-16,226.1,235.75,224.635,228.74,1707515.0
2020-09-15,228.29,231.51,222.89,226.33,1360113.0
2020-09-14,228.47,231.29,222.09,225.91,1417895.0
2020-09-11,235.51,235.51,220.89,224.41,1561901.0
2020-09-10,236.59,243.67,229.55,231.17,1658446.0
2020-09-09,233.7,235.6183,226.5301,233.11,1730285.0
2020-09-08,223.18,234.55,222.3277,226.16,2196727.0
2020-09-04,245.15,248.0,223.01,233.5,3649396.0
2020-09-03,255.02,258.42,243.76,248.39,3391083.0
2020-09-02,279.11,279.4137,258.78,264.2,2905051.0
2020-09-01,274.36,283.34,272.0,273.24,2739645.0
2020-08-31,266.14,270.74,261.9,269.76,1783694.0
2020-08-28,264.0,274.36,262.5,264.45,2030200.0
2020-08-27,265.0,268.73,260.2,261.52,2539178.0
2020-08-26,254.0,267.94,253.17,265.02,2960161.0
2020-08-25,242.7,250.3595,240.71,249.51,1834560.0
2020-08-24,254.29,254.52,240.33,245.47,1993503.0
2020-08-21,259.92,261.45,251.1,251.26,1608268.0
2020-08-20,248.02,258.6,247.0,257.65,2050254.0
2020-08-19,250.81,253.4,248.5,251.0,1559545.0
2020-08-18,250.05,254.8,247.44,251.94,2245017.0
2020-08-17,242.99,249.12,242.0,247.8,2062634.0
2020-08-14,246.0,247.0,238.515,240.06,1508237.0
2020-08-13,243.64,248.35,242.61,243.99,1845279.0
2020-08-12,244.47,247.52,240.24,240.93,2443429.0
2020-08-11,246.59,252.29,242.66,244.49,3049938.0
2020-08-10,248.12,252.7,241.36,250.05,4921207.0
2020-08-07,245.83,257.5,241.73,249.0,9523249.0
2020-08-06,272.63,275.39,260.0,260.49,4322467.0
2020-08-05,277.0,280.56,268.62,278.11,6259492.0
2020-08-04,285.0,286.99,280.1295,283.76,5245178.0
2020-08-03,282.18,288.8112,279.3127,286.33,3743583.0
2020-07-31,273.0,277.42,267.14,277.42,3379469.0
2020-07-30,263.49,269.78,259.41,267.45,2568714.0
2020-07-29,253.09,265.36,250.4709,264.62,3265506.0
2020-07-28,252.96,256.31,249.56,249.79,1562226.0
2020-07-27,252.0,256.6,247.6178,252.86,1611138.0
2020-07-24,248.5,250.48,235.7,248.29,2787047.0
2020-07-23,263.5,270.5,253.29,254.32,3054120.0
2020-07-22,262.53,271.0,260.1261,262.05,3224227.0
2020-07-21,263.55,264.5,250.05,260.51,4315117.0
2020-07-20,240.0,264.365,237.535,262.97,5170437.0
2020-07-17,225.8,239.63,222.97,238.57,4637100.0
2020-07-16,221.98,224.0,217.24,222.38,2460500.0
2020-07-15,226.28,226.68,216.78,224.27,2371800.0
2020-07-14,222.11,227.36,214.32,223.82,3198800.0
2020-07-13,241.62,244.0,223.37,224.8,2690100.0
2020-07-10,245.0,245.3,238.65,240.58,2185100.0
2020-07-09,245.5,247.5,237.44,245.3,2608600.0
2020-07-08,235.5,244.99,234.92,243.61,3513800.0
2020-07-07,235.23,239.47,232.82,233.3,1942800.0
2020-07-06,237.66,242.0,232.57,235.44,2573200.0
2020-07-02,230.61,236.5,227.46,232.35,3372900.0
2020-07-01,218.13,228.69,217.0,227.77,2207600.0
2020-06-30,211.08,221.0,208.95,219.42,2748800.0
2020-06-29,221.03,222.15,206.56,210.99,3290600.0
2020-06-26,217.87,222.38,211.64,221.15,5133670.0
2020-06-25,212.81,216.55,207.56,216.52,2522708.0
2020-06-24,214.87,219.05,209.2226,212.17,2462870.0
2020-06-23,216.98,219.64,213.58,215.25,2316689.0
2020-06-22,212.56,218.8,212.472,216.25,2148954.0
